airport_name,total_flights,delayed_flights,percentage_delayed
"Pierre, SD: Pierre Regional",56,7,12.5
"Prescott, AZ: Prescott Regional Ernest A Love Field",64,8,12.5
"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",16,2,12.5
"Jacksonville, FL: Jacksonville International",2327,289,12.419424151267727
"Los Angeles, CA: Los Angeles International",17642,2189,12.407890261875071
"Islip, NY: Long Island MacArthur",494,61,12.348178137651821
"Cleveland, OH: Cleveland-Hopkins International",3542,437,12.337662337662337
"Washington, DC: Washington Dulles International",5061,622,12.290061252716853
"Louisville, KY: Louisville Muhammad Ali International",1910,231,12.094240837696335
"Raleigh/Durham, NC: Raleigh-Durham International",5020,605,12.05179282868526
"Minneapolis, MN: Minneapolis-St Paul International",12261,1469,11.981078215479977
"Pasco/Kennewick/Richland, WA: Tri Cities",268,32,11.940298507462686
"Staunton, VA: Shenandoah Valley Regional",84,10,11.904761904761903
"Boston, MA: Logan International",12137,1435,11.823350086512317
"Lewisburg, WV: Greenbrier Valley",34,4,11.76470588235294
"Santa Fe, NM: Santa Fe Municipal",136,16,11.76470588235294
"Texarkana, AR: Texarkana Regional-Webb Field",85,10,11.76470588235294
"Nome, AK: Nome Airport",60,7,11.666666666666666
"Nashville, TN: Nashville International",6556,762,11.62294081757169
"Phoenix, AZ: Phoenix Sky Harbor International",15185,1754,11.550872571616727
"Ontario, CA: Ontario International",1965,224,11.399491094147583
"Great Falls, MT: Great Falls International",158,18,11.39240506329114
"Laredo, TX: Laredo International",204,23,11.27450980392157
"Daytona Beach, FL: Daytona Beach International",302,34,11.258278145695364
"Flagstaff, AZ: Flagstaff Pulliam",170,19,11.176470588235295
"Denver, CO: Denver International",20133,2242,11.135945959370188
"Quincy, IL: Quincy Regional-Baldwin Field",9,1,11.11111111111111
"Columbus, OH: Rickenbacker International",54,6,11.11111111111111
"St. Louis, MO: St Louis Lambert International",5499,611,11.11111111111111
"Albuquerque, NM: Albuquerque International Sunport",1822,202,11.086717892425906
"Long Beach, CA: Long Beach Airport",1393,154,11.055276381909549
"Houston, TX: William P Hobby",4824,533,11.048922056384743
"Dallas, TX: Dallas Love Field",5960,656,11.006711409395974
"Las Vegas, NV: McCarran International",14087,1549,10.995953716192234
"Sacramento, CA: Sacramento International",4311,474,10.995128740431454
"Salt Lake City, UT: Salt Lake City International",10160,1106,10.885826771653544
"Kona, HI: Ellison Onizuka Kona International at Keahole",1347,146,10.838901262063844
"Santa Ana, CA: John Wayne Airport-Orange County",3268,349,10.679314565483477
"Guam, TT: Guam International",75,8,10.666666666666668
"Detroit, MI: Detroit Metro Wayne County",13103,1391,10.615889490956269
"Atlanta, GA: Hartsfield-Jackson Atlanta International",32062,3332,10.392364793213149
"Rock Springs, WY: Southwest Wyoming Regional",58,6,10.344827586206897
