hour_of_day,total_flights,delayed_flights,percentage_delayed
,0,,
2,925,616,66.5945945945946
1,3040,1897,62.401315789473685
3,361,205,56.78670360110804
0,13394,4111,30.692847543676272
22,30768,6012,19.53978159126365
23,25686,4899,19.072646577902358
20,35128,5942,16.915281257116828
21,35379,5920,16.733090251279005
19,36609,5844,15.963287716135376
