hour_of_day,total_flights,delayed_flights,percentage_delayed
7,19567,786,4.016967342975418
8,29083,1650,5.673417460372039
6,8094,498,6.152705707931801
5,3587,254,7.08112628937831
4,1379,100,7.25163161711385
9,32515,2688,8.266953713670613
10,36964,3559,9.628286981928364
11,35844,3806,10.618234572034371
13,34409,3910,11.363306111773083
12,35161,4159,11.828446289923495
